iter	Passed	Remaining
815	5003	1128
816	5009	1121
817	5015	1115
818	5021	1109
819	5027	1103
820	5033	1097
821	5039	1091
822	5045	1085
823	5051	1078
824	5057	1072
825	5064	1066
826	5070	1060
827	5076	1054
828	5082	1048
829	5088	1042
830	5093	1035
831	5099	1029
832	5105	1023
833	5112	1017
834	5119	1011
835	5125	1005
836	5131	999
837	5137	993
838	5143	987
839	5149	980
840	5155	974
841	5161	968
842	5167	962
843	5173	956
844	5179	950
845	5185	943
846	5191	937
847	5197	931
848	5203	925
849	5209	919
850	5215	913
851	5221	907
852	5227	900
853	5234	894
854	5240	888
855	5246	882
856	5253	876
857	5258	870
858	5264	864
859	5270	857
860	5276	851
861	5282	845
862	5288	839
863	5295	833
864	5301	827
865	5307	821
866	5313	815
867	5319	808
868	5325	802
869	5331	796
870	5337	790
871	5344	784
872	5350	778
873	5356	772
874	5363	766
875	5369	760
876	5374	753
877	5380	747
878	5386	741
879	5392	735
880	5398	729
881	5404	722
882	5409	716
883	5415	710
884	5421	704
885	5427	698
886	5433	692
887	5439	686
888	5445	679
889	5451	673
890	5458	667
891	5464	661
892	5470	655
893	5476	649
894	5483	643
895	5489	637
896	5495	630
897	5501	624
898	5507	618
899	5514	612
900	5520	606
901	5526	600
902	5532	594
903	5538	588
904	5544	581
905	5549	575
906	5555	569
907	5562	563
908	5567	557
909	5574	551
910	5580	545
911	5586	539
912	5592	532
913	5598	526
914	5604	520
915	5610	514
916	5616	508
917	5622	502
918	5628	496
919	5634	489
920	5640	483
921	5646	477
922	5652	471
923	5658	465
924	5665	459
925	5671	453
926	5677	447
927	5683	440
928	5690	434
929	5696	428
930	5702	422
931	5707	416
932	5714	410
933	5720	404
934	5725	398
935	5731	391
936	5737	385
937	5743	379
938	5750	373
939	5756	367
940	5762	361
941	5768	355
942	5774	349
943	5780	342
944	5787	336
945	5793	330
946	5799	324
947	5804	318
948	5811	312
949	5817	306
950	5824	300
951	5830	293
952	5836	287
953	5842	281
954	5848	275
955	5854	269
956	5860	263
957	5866	257
958	5871	251
959	5878	244
960	5883	238
961	5889	232
962	5895	226
963	5901	220
964	5907	214
965	5913	208
966	5920	202
967	5926	195
968	5932	189
969	5938	183
970	5944	177
971	5951	171
972	5957	165
973	5963	159
974	5969	153
975	5975	146
976	5980	140
977	5986	134
978	5992	128
979	5998	122
980	6005	116
981	6011	110
982	6017	104
983	6023	97
984	6029	91
985	6035	85
986	6042	79
987	6048	73
988	6054	67
989	6060	61
990	6066	55
991	6072	48
992	6078	42
993	6085	36
994	6091	30
995	6097	24
996	6103	18
997	6109	12
998	6115	6
999	6122	0
